asset_key,post_id_observed,locale,post_slug,post_title,post_url,cover_file,hook_file,og_file,alt_text_proposed,hook_text,prompt_file,generation_status,assignment_status
es:widdo-identidad-deportiva-digital,17,es,widdo-identidad-deportiva-digital,Widdo: Tu Identidad Deportiva Digital que Te Acompaña en Todos tus Roles,https://widdo.co/es/blog/widdo-identidad-deportiva-digital,images/es/widdo-identidad-deportiva-digital-es-portada.webp,images/es/widdo-identidad-deportiva-digital-es-gancho.webp,images/es/widdo-identidad-deportiva-digital-es-og.jpg,"Un perfil conecta los roles de entrenador, familiar, jugador y director en distintos deportes.",Tu deporte. Una identidad.,prompts/es/widdo-identidad-deportiva-digital-es.md,not_generated,not_assigned
es:tendencias-escuelas-deportivas-2026,32,es,tendencias-escuelas-deportivas-2026,Tendencias de Escuelas Deportivas para 2026: Lo que Viene,https://widdo.co/es/blog/tendencias-escuelas-deportivas-2026,images/es/tendencias-escuelas-deportivas-2026-es-portada.webp,images/es/tendencias-escuelas-deportivas-2026-es-gancho.webp,images/es/tendencias-escuelas-deportivas-2026-es-og.jpg,Entrenadora con una tablet acompaña una sesión juvenil de voleibol.,El club que viene,prompts/es/tendencias-escuelas-deportivas-2026-es.md,not_generated,not_assigned
es:automatizar-club-deportivo-tareas-manuales,31,es,automatizar-club-deportivo-tareas-manuales,Automatiza tu Club: 5 Tareas que No Deberías Hacer Manualmente,https://widdo.co/es/blog/automatizar-club-deportivo-tareas-manuales,images/es/automatizar-club-deportivo-tareas-manuales-es-portada.webp,images/es/automatizar-club-deportivo-tareas-manuales-es-gancho.webp,images/es/automatizar-club-deportivo-tareas-manuales-es-og.jpg,Cinco procesos administrativos organizados junto al entrenamiento de un club multideportivo.,Menos tareas. Más deporte.,prompts/es/automatizar-club-deportivo-tareas-manuales-es.md,not_generated,not_assigned
es:grupos-facebook-comunidades-deportivas,30,es,grupos-facebook-comunidades-deportivas,Grupos de Facebook: El Arma Secreta para Comunidades Deportivas,https://widdo.co/es/blog/grupos-facebook-comunidades-deportivas,images/es/grupos-facebook-comunidades-deportivas-es-portada.webp,images/es/grupos-facebook-comunidades-deportivas-es-gancho.webp,images/es/grupos-facebook-comunidades-deportivas-es-og.jpg,Familias de un club de natación participan en una comunidad digital organizada.,Un grupo que sí une,prompts/es/grupos-facebook-comunidades-deportivas-es.md,not_generated,not_assigned
es:definir-precios-escuela-deportiva-colombia,29,es,definir-precios-escuela-deportiva-colombia,Cómo Definir los Precios de tu Escuela Deportiva (Sin Subvalorarte),https://widdo.co/es/blog/definir-precios-escuela-deportiva-colombia,images/es/definir-precios-escuela-deportiva-colombia-es-portada.webp,images/es/definir-precios-escuela-deportiva-colombia-es-gancho.webp,images/es/definir-precios-escuela-deportiva-colombia-es-og.jpg,Calculadora y desglose visual de costes de una escuela deportiva junto a material de entrenamiento.,Ponle números a tu cuota,prompts/es/definir-precios-escuela-deportiva-colombia-es.md,not_generated,not_assigned
es:organizar-eventos-gratuitos-atraer-alumnos,28,es,organizar-eventos-gratuitos-atraer-alumnos,Cómo Organizar Eventos Gratuitos que Atraigan Nuevos Alumnos,https://widdo.co/es/blog/organizar-eventos-gratuitos-atraer-alumnos,images/es/organizar-eventos-gratuitos-atraer-alumnos-es-portada.webp,images/es/organizar-eventos-gratuitos-atraer-alumnos-es-gancho.webp,images/es/organizar-eventos-gratuitos-atraer-alumnos-es-og.jpg,Entrenador recibe a una familia en una jornada abierta de una escuela multideportiva.,La primera clase cuenta,prompts/es/organizar-eventos-gratuitos-atraer-alumnos-es.md,not_generated,not_assigned
es:widdo-cuenta-multiples-roles-deportivos,27,es,widdo-cuenta-multiples-roles-deportivos,"Una Cuenta, Múltiples Roles: Cómo Widdo Simplifica tu Vida Deportiva",https://widdo.co/es/blog/widdo-cuenta-multiples-roles-deportivos,images/es/widdo-cuenta-multiples-roles-deportivos-es-portada.webp,images/es/widdo-cuenta-multiples-roles-deportivos-es-gancho.webp,images/es/widdo-cuenta-multiples-roles-deportivos-es-og.jpg,"Una misma persona alterna entre sus roles de entrenador, padre y jugador.",Una cuenta. Todos tus roles.,prompts/es/widdo-cuenta-multiples-roles-deportivos-es.md,not_generated,not_assigned
es:calendario-contenidos-clubes-deportivos,26,es,calendario-contenidos-clubes-deportivos,Calendario de Contenidos para Clubes: Qué Publicar Cada Mes del Año,https://widdo.co/es/blog/calendario-contenidos-clubes-deportivos,images/es/calendario-contenidos-clubes-deportivos-es-portada.webp,images/es/calendario-contenidos-clubes-deportivos-es-gancho.webp,images/es/calendario-contenidos-clubes-deportivos-es-og.jpg,"Calendario editorial con miniaturas de entrenamientos, testimonios y eventos de distintos deportes.",Tu próximo post empieza aquí,prompts/es/calendario-contenidos-clubes-deportivos-es.md,not_generated,not_assigned
es:transformar-padres-aliados-escuela-deportiva,25,es,transformar-padres-aliados-escuela-deportiva,Cómo Transformar Padres en Aliados (No en Clientes que Solo Pagan),https://widdo.co/es/blog/transformar-padres-aliados-escuela-deportiva,images/es/transformar-padres-aliados-escuela-deportiva-es-portada.webp,images/es/transformar-padres-aliados-escuela-deportiva-es-gancho.webp,images/es/transformar-padres-aliados-escuela-deportiva-es-og.jpg,Entrenadora conversa con una familia sobre el progreso de una joven deportista en un gimnasio.,Familias que hacen equipo,prompts/es/transformar-padres-aliados-escuela-deportiva-es.md,not_generated,not_assigned
es:programa-referidos-duplicar-inscripciones,24,es,programa-referidos-duplicar-inscripciones,Cómo Crear un Programa de Referidos que Duplique tus Inscripciones,https://widdo.co/es/blog/programa-referidos-duplicar-inscripciones,images/es/programa-referidos-duplicar-inscripciones-es-portada.webp,images/es/programa-referidos-duplicar-inscripciones-es-gancho.webp,images/es/programa-referidos-duplicar-inscripciones-es-og.jpg,Una familia presenta a otra al entrenador durante una clase de prueba de artes marciales.,Una familia trae a otra,prompts/es/programa-referidos-duplicar-inscripciones-es.md,not_generated,not_assigned
es:tiktok-escuelas-deportivas-ideas-contenido,23,es,tiktok-escuelas-deportivas-ideas-contenido,TikTok para Escuelas Deportivas: Ideas de Contenido que Atraen Alumnos,https://widdo.co/es/blog/tiktok-escuelas-deportivas-ideas-contenido,images/es/tiktok-escuelas-deportivas-ideas-contenido-es-portada.webp,images/es/tiktok-escuelas-deportivas-ideas-contenido-es-gancho.webp,images/es/tiktok-escuelas-deportivas-ideas-contenido-es-og.jpg,Un móvil vertical graba un ejercicio de baloncesto para contenido de una escuela deportiva.,Del video a la primera clase,prompts/es/tiktok-escuelas-deportivas-ideas-contenido-es.md,not_generated,not_assigned
es:razones-abandono-alumnos-escuela-deportiva,22,es,razones-abandono-alumnos-escuela-deportiva,5 Razones por las que los Alumnos Abandonan tu Escuela (y Cómo Evitarlo),https://widdo.co/es/blog/razones-abandono-alumnos-escuela-deportiva,images/es/razones-abandono-alumnos-escuela-deportiva-es-portada.webp,images/es/razones-abandono-alumnos-escuela-deportiva-es-gancho.webp,images/es/razones-abandono-alumnos-escuela-deportiva-es-og.jpg,Entrenador acompaña a un alumno de voleibol mientras revisa su continuidad en las sesiones.,Escucha antes de que se vaya,prompts/es/razones-abandono-alumnos-escuela-deportiva-es.md,not_generated,not_assigned
es:reducir-morosidad-club-deportivo-cobros,21,es,reducir-morosidad-club-deportivo-cobros,Cómo Reducir la Morosidad en tu Club Deportivo: Guía Práctica de Cobros,https://widdo.co/es/blog/reducir-morosidad-club-deportivo-cobros,images/es/reducir-morosidad-club-deportivo-cobros-es-portada.webp,images/es/reducir-morosidad-club-deportivo-cobros-es-gancho.webp,images/es/reducir-morosidad-club-deportivo-cobros-es-og.jpg,Coordinadora de una escuela de natación revisa mensualidades y recordatorios organizados.,Cobros claros. Menos pendientes.,prompts/es/reducir-morosidad-club-deportivo-cobros-es.md,not_generated,not_assigned
es:guia-instagram-clubes-deportivos,20,es,guia-instagram-clubes-deportivos,Guía Completa de Instagram para Clubes Deportivos: Del Cero al Engagement,https://widdo.co/es/blog/guia-instagram-clubes-deportivos,images/es/guia-instagram-clubes-deportivos-es-portada.webp,images/es/guia-instagram-clubes-deportivos-es-gancho.webp,images/es/guia-instagram-clubes-deportivos-es-og.jpg,"Perfil editorial de una escuela deportiva con fotos de entrenamientos, logros y familias.",Que tu club se vea,prompts/es/guia-instagram-clubes-deportivos-es.md,not_generated,not_assigned
es:estrategias-marketing-escuelas-futbol-colombia,19,es,estrategias-marketing-escuelas-futbol-colombia,7 Estrategias de Marketing que Funcionan para Escuelas de Fútbol en Colombia,https://widdo.co/es/blog/estrategias-marketing-escuelas-futbol-colombia,images/es/estrategias-marketing-escuelas-futbol-colombia-es-portada.webp,images/es/estrategias-marketing-escuelas-futbol-colombia-es-gancho.webp,images/es/estrategias-marketing-escuelas-futbol-colombia-es-og.jpg,Familias conocen una escuela de fútbol durante una clase de prueba con un entrenador.,Que conozcan tu escuela,prompts/es/estrategias-marketing-escuelas-futbol-colombia-es.md,not_generated,not_assigned
