asset_key,locale,post_slug,post_title,post_url,image_file,featured_image_alt,post_id_observed,width,height,bytes,sha256
es:widdo-identidad-deportiva-digital,es,widdo-identidad-deportiva-digital,Widdo: Tu Identidad Deportiva Digital que Te Acompaña en Todos tus Roles,https://widdo.co/es/blog/widdo-identidad-deportiva-digital,images/es/widdo-identidad-deportiva-digital-es-portada.webp,"Ilustración editorial de una persona conectada con sus roles de entrenador, familiar, jugador y director, entre escenas de básquet, natación y tenis.",17,1600,900,291242,145963aa85065329f89102e46bafb257e417c443faa03bced0197b5692547101
es:tendencias-escuelas-deportivas-2026,es,tendencias-escuelas-deportivas-2026,Tendencias de Escuelas Deportivas para 2026: Lo que Viene,https://widdo.co/es/blog/tendencias-escuelas-deportivas-2026,images/es/tendencias-escuelas-deportivas-2026-es-portada.webp,"Ilustración de un entrenamiento juvenil de voleibol con seguimiento digital y familias, acompañada del año 2026.",32,1600,900,235696,99ddeac2db71491633d1110d1269077057d1d561a9da37c28bb88db8c80f1afc
es:automatizar-club-deportivo-tareas-manuales,es,automatizar-club-deportivo-tareas-manuales,Automatiza tu Club: 5 Tareas que No Deberías Hacer Manualmente,https://widdo.co/es/blog/automatizar-club-deportivo-tareas-manuales,images/es/automatizar-club-deportivo-tareas-manuales-es-portada.webp,"Composición de cinco tareas administrativas —cobros, avisos, asistencia, inscripciones y reportes— organizadas alrededor de una cancha de básquet.",31,1600,900,114162,aafa27ac31267eb567f35be589f89496b176056499f782fc12db5f4dcdd42083
es:grupos-facebook-comunidades-deportivas,es,grupos-facebook-comunidades-deportivas,Grupos de Facebook: El Arma Secreta para Comunidades Deportivas,https://widdo.co/es/blog/grupos-facebook-comunidades-deportivas,images/es/grupos-facebook-comunidades-deportivas-es-portada.webp,Ilustración de familias de un club de natación conectadas mediante conversaciones y publicaciones de un grupo de Facebook.,30,1600,900,150044,ef00d5f071f302676cae65652ddd2f258a4580cc8ca6eec2f3fee48bfa8d7982
es:definir-precios-escuela-deportiva-colombia,es,definir-precios-escuela-deportiva-colombia,Cómo Definir los Precios de tu Escuela Deportiva (Sin Subvalorarte),https://widdo.co/es/blog/definir-precios-escuela-deportiva-colombia,images/es/definir-precios-escuela-deportiva-colombia-es-portada.webp,"Composición de cancha, entrenadores, material y margen que se reúnen para representar el cálculo de la cuota de una escuela de básquet.",29,1600,900,184828,0bcf545d1ef57ff8a6030ceacf8edfde576104009b6548fbe8118fb237a8261c
es:organizar-eventos-gratuitos-atraer-alumnos,es,organizar-eventos-gratuitos-atraer-alumnos,Cómo Organizar Eventos Gratuitos que Atraigan Nuevos Alumnos,https://widdo.co/es/blog/organizar-eventos-gratuitos-atraer-alumnos,images/es/organizar-eventos-gratuitos-atraer-alumnos-es-portada.webp,Ilustración de un entrenador recibiendo a una familia durante una clase de prueba con actividades de básquet y voleibol.,28,1600,900,230258,e4e64140c6b4cb32d643884dd8542d0a8ec06fa1fe581c85dc67766c67e645f0
es:widdo-cuenta-multiples-roles-deportivos,es,widdo-cuenta-multiples-roles-deportivos,"Una Cuenta, Múltiples Roles: Cómo Widdo Simplifica tu Vida Deportiva",https://widdo.co/es/blog/widdo-cuenta-multiples-roles-deportivos,images/es/widdo-cuenta-multiples-roles-deportivos-es-portada.webp,"Un recorrido continuo conecta una sola cuenta con los roles de entrenador de básquet, familiar en natación y jugador de tenis.",27,1600,900,406750,edb2df3c25df90644d7600a6708dfa1f034ffa0c9e1ecc72d0b1e5e9ad1955b6
es:calendario-contenidos-clubes-deportivos,es,calendario-contenidos-clubes-deportivos,Calendario de Contenidos para Clubes: Qué Publicar Cada Mes del Año,https://widdo.co/es/blog/calendario-contenidos-clubes-deportivos,images/es/calendario-contenidos-clubes-deportivos-es-portada.webp,"Calendario editorial con contenidos de entrenamiento, logros, inscripciones y comunidad para un club multideportivo.",26,1600,900,247282,31d2bd15e2d5212ab6ea45d42df1b9708708ee04895fc8bfc58e46dd223f4243
es:transformar-padres-aliados-escuela-deportiva,es,transformar-padres-aliados-escuela-deportiva,Cómo Transformar Padres en Aliados (No en Clientes que Solo Pagan),https://widdo.co/es/blog/transformar-padres-aliados-escuela-deportiva,images/es/transformar-padres-aliados-escuela-deportiva-es-portada.webp,Ilustración de una entrenadora de gimnasia y una familia conversando junto a una niña que practica sobre una colchoneta.,25,1600,900,150546,48d30ee1387d4c957253cb56cf3d778618847d79e1086e9985eca670b9b8fe0c
es:programa-referidos-duplicar-inscripciones,es,programa-referidos-duplicar-inscripciones,Cómo Crear un Programa de Referidos que Duplique tus Inscripciones,https://widdo.co/es/blog/programa-referidos-duplicar-inscripciones,images/es/programa-referidos-duplicar-inscripciones-es-portada.webp,"Una familia presenta a otra al instructor de un dojo, junto a la secuencia invitar, probar e inscribirse.",24,1600,900,186828,f4903a1b7e89c2fbc993815edd8bfbfccdec37fb5b5c7f22beb75256dd258e92
